"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"14","#DataViz latest news roundup: http://t.co/8GSq1DUxMp",FALSE,1,NA,2014-08-14 17:00:02,FALSE,NA,"499963669368012800",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"15","#SQLServer2014 Top Content: http://t.co/GAj4QKhlKe",FALSE,0,NA,2014-08-14 16:00:07,FALSE,NA,"499948590199226368",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"16","Summary of the latest #dataviz news! http://t.co/SG6O6jBMnh",FALSE,0,NA,2014-08-14 15:00:02,FALSE,NA,"499933471960473600",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",1,FALSE,FALSE,NA,NA
"17","The SQLServer2012 Daily is out! http://t.co/40NXR0PYi4 Stories via @internetya",FALSE,0,NA,2014-08-14 14:14:24,FALSE,NA,"499921987733848065",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","jenstirrup",2,FALSE,FALSE,NA,NA
"18","Top story: In Ferguson, Washington Post reporter Wesley Lowery gives account of… http://t.co/AlR6WeFgVW, see more http://t.co/jSEH0YSTvp",FALSE,0,NA,2014-08-14 14:01:14,FALSE,NA,"499918671956176896",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",1,FALSE,FALSE,NA,NA
"19","#SQLServer2014 Top Content: Flash to the Max: HGST, NEC ink SQL Server applianc… http://t.co/rv60IuySbp, see more http://t.co/GAj4QKhlKe",FALSE,0,NA,2014-08-14 11:07:17,FALSE,NA,"499874898177970176",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"20","#DataViz News: Datawatch Fastdata Sweepstakes http://t.co/evjk39iUeQ, see more http://t.co/SG6O6jBMnh",FALSE,0,NA,2014-08-14 06:03:34,FALSE,NA,"499798463232892930",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"21","Top story: The 25 KPIs Everyone Must Understand | SmartData Collective http://t.co/Siu1lmnMkG, see more http://t.co/jSEH0YSTvp",FALSE,3,NA,2014-08-14 05:40:00,FALSE,NA,"499792532809998336",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",2,FALSE,FALSE,NA,NA
"22","Today's freshest #SQLServer2014 news: Flash to the Max: HGST, NEC ink SQL Serve… http://t.co/rv60IuySbp, see more http://t.co/Ik5qeltRhV",FALSE,0,NA,2014-08-14 03:31:46,FALSE,NA,"499760263592435713",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",1,FALSE,FALSE,NA,NA
"23","Top story: 'Internet of things' is the most over-hyped technology, say analysts… http://t.co/cidT3OUaw0, see more http://t.co/jSEH0YSTvp",FALSE,2,NA,2014-08-13 22:50:21,FALSE,NA,"499689444187074560",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"24","RT @ThreadlessDream: @VirtualAstro Managed to capture this meteor last night. Hoping to catch a few more tonight! http://t.co/NGIOZHqosv",FALSE,0,NA,2014-08-13 22:21:58,FALSE,NA,"499682299219152897",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",8,TRUE,FALSE,NA,NA
"25","RT @hortonworks: Learn Hadoop:  How To Process and Analyze Machine and Sensor Data http://t.co/Tx7xPBoTNd",FALSE,0,NA,2014-08-13 22:21:17,FALSE,NA,"499682128452259840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",14,TRUE,FALSE,NA,NA
"26","RT @tillyblyth: Fascinating report from @rebeccamorelle on the politics of space technology with US sanctions on Russia #newsnight",FALSE,0,NA,2014-08-13 22:21:00,FALSE,NA,"499682055655936000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",1,TRUE,FALSE,NA,NA
"27","My favourite Tech Leaders news: http://t.co/jSEH0YSTvp - top stories by KirkDBorne, MostlyKnown",FALSE,0,NA,2014-08-13 19:00:12,FALSE,NA,"499631523298295809",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"28","Today's #SQLServer2014 news: http://t.co/Ik5qeltRhV",FALSE,0,NA,2014-08-13 18:00:09,FALSE,NA,"499616412458303488",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",1,FALSE,FALSE,NA,NA
"29","RT @UpSearchSQL: *  Like bookclubs? Interested in learning Javascript online?  | @jenstirrup #sqlserver http://t.co/VgHn86Orey",FALSE,0,NA,2014-08-13 17:01:24,FALSE,NA,"499601626144210944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",1,TRUE,FALSE,NA,NA
"30","RT @SQLRockstar: Get started with SQL database auditing http://t.co/eRCn9iJ94d #azure #masd",FALSE,0,NA,2014-08-13 17:01:06,FALSE,NA,"499601552555122688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",2,TRUE,FALSE,NA,NA
"31","#DataViz latest news roundup: http://t.co/8GSq1DUxMp",FALSE,0,NA,2014-08-13 17:00:02,FALSE,NA,"499601281833775105",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"32","#SQLServer2014 Top Content: http://t.co/GAj4QKhlKe",FALSE,0,NA,2014-08-13 16:00:06,FALSE,NA,"499586199322132480",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"33","Summary of the latest #dataviz news! http://t.co/SG6O6jBMnh",FALSE,0,NA,2014-08-13 15:00:02,FALSE,NA,"499571081305653248",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"34","The SQLServer2012 Daily is out! http://t.co/40NXR0PYi4 Stories via @NoaMeijer @SQLBeats",FALSE,0,NA,2014-08-13 14:14:19,FALSE,NA,"499559578846371840",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","jenstirrup",1,FALSE,FALSE,NA,NA
"35","#SQLServer2014 Top Content: Microsoft SQL Server 2014: Database Engine key new … http://t.co/PykEwkzt13, see more http://t.co/GAj4QKhlKe",FALSE,0,NA,2014-08-13 10:31:33,FALSE,NA,"499503515228987393",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"36","Today's freshest #SQLServer2014 news: Twitter / EMCXtremIO: #XtremIO unleashes … http://t.co/5bNwXk659r, see more http://t.co/Ik5qeltRhV",FALSE,0,NA,2014-08-13 10:31:32,FALSE,NA,"499503514192977921",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"37","RT @Stemettes: Higher Perfectionism, Lower Confidence: The Challenges For #WomenInSTEM http://t.co/2DRrSiQAR3 #US",FALSE,0,NA,2014-08-13 07:48:36,FALSE,NA,"499462508709953537",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",3,TRUE,FALSE,NA,NA
"38","#DataViz News: ferguson pd data - Google Sheets https://t.co/L1JWVdN9JI, see more http://t.co/SG6O6jBMnh",FALSE,0,NA,2014-08-13 06:22:52,FALSE,NA,"499440932966895616",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"39","Top story: Chief digital officer vs. chief data officer: Who will win the day? http://t.co/61fxULQDUO, see more http://t.co/i2E0XWcaWJ",FALSE,1,NA,2014-08-13 04:03:54,FALSE,NA,"499405963640586240",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"40","Today's freshest #SQLServer2014 news: Having performance issues with table vari… http://t.co/2H04iucF8V, see more http://t.co/Ik5qeltRhV",FALSE,0,NA,2014-08-13 00:43:53,FALSE,NA,"499355625319841792",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"41","Top #dataviz story: Visualising Data  » Blog Archive   » 10 significant visuali… http://t.co/dfJujnihrt, see more http://t.co/8GSq1DUxMp",FALSE,0,NA,2014-08-12 23:18:14,FALSE,NA,"499334072909713409",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"42","#DataViz News: Data Set Go  » Blog Archive  A Tale of 100 Entrepreneurs- Data V… http://t.co/Wu8h0xEnC5, see more http://t.co/SG6O6jBMnh",FALSE,0,NA,2014-08-12 22:46:39,FALSE,NA,"499326122413522944",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",2,FALSE,FALSE,NA,NA
"43","RT @suttonnick: For those interested, these are the guidelines produced by @samaritans on reporting suicide http://t.co/Os7QgWXvz1 http://t…",FALSE,0,NA,2014-08-12 22:11:33,FALSE,NA,"499317290824138753",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",1410,TRUE,FALSE,NA,NA
"44","@intoleranse wow, you know how to pick well. are they looking for any help from a Scottish BI fanatic? Asking for a friend :)",FALSE,0,"intoleranse",2014-08-12 20:50:50,FALSE,"499296523457662977","499296976585121793","69091963","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"45","@intoleranse I don't often get any at customer site. Lack of documentation usually indicates lack of process, indicative of larger problems",FALSE,0,"intoleranse",2014-08-12 20:47:45,FALSE,"499295269453041664","499296201536438272","69091963","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"46","@sqlstudent144 @SQLintheWild nice! I think I will go for Cognitio after Manui Dat Cognitio Vires.",FALSE,0,"sqlstudent144",2014-08-12 20:42:27,FALSE,"499294276719620096","499294868544696320","2351612082","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"47","@TechMike2kX no, it's just for playing, not for work or a customer. I like to have VMs where I can learn by breaking and it's no big deal.",FALSE,0,"TechMike2kX",2014-08-12 20:40:02,FALSE,"499293902458073088","499294257526890496","227439753","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"48","@SQLintheWild good idea. A friend calls his home domain '22 Acacia Avenue' after the Iron Maiden song. Not sure what his better half thinks",FALSE,0,"SQLintheWild",2014-08-12 20:38:21,FALSE,"499293449074790400","499293834120286208","94354930","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"49","@TechMike2kX If you knew how long it's taken me to get this far..... :) Everything else got in the way.",FALSE,0,"TechMike2kX",2014-08-12 20:37:34,FALSE,"499293358385532928","499293637113810944","227439753","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"50","@intoleranse yes, I got used to having to work my way around systems. Been a consultant nearly 20 years. Poor documentation is ubiquitous",FALSE,0,"intoleranse",2014-08-12 20:36:44,FALSE,"499293120941801475","499293428203921408","69091963","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"51","@markvsql I'm thinking http://t.co/oLJR8WGIfe Manui Dat Cognitio Vires so abbreviate to Cognitio. Knowledge gives strength to the arm",FALSE,0,"markvsql",2014-08-12 20:34:42,FALSE,"499292070394089472","499292915169239040","19672735","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"52","@intoleranse yep, I'm one of those. I learn by breaking stuff. Reading and telling me stuff? Doesn't work. I need hands on the mouse.",FALSE,0,"intoleranse",2014-08-12 20:33:55,FALSE,"499292493444579328","499292720402538496","69091963","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"53","@flyingcod I like it :)",FALSE,0,"flyingcod",2014-08-12 20:33:16,FALSE,"499292141437591552","499292557252526081","570705422","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"54","@jdanton @markvsql I'd never live it down :)",FALSE,0,"jdanton",2014-08-12 20:31:20,FALSE,"499290528438292481","499292071757619200","16454598","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"55","@SQLintheWild you are full of cool knowledge :) Thought of you when I went here http://t.co/v5eDM0RqSc nothing wrong with lego in a cafe",FALSE,0,"SQLintheWild",2014-08-12 20:29:24,FALSE,"499289934482898944","499291582601101313","94354930","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"56","@markvsql or what about 3D Stacked Scatter Pie Columns. http://t.co/Z1BwJ5ydDI Even Minard had 50 pies on one map #dataviz",FALSE,0,"markvsql",2014-08-12 20:27:16,FALSE,"499290474167820288","499291048292909056","19672735","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"57","@intoleranse If you saw how many mistakes I make because I never read the manual, ""Deep Thought"" wouldn't work. More like ""Human errors""",FALSE,0,"intoleranse",2014-08-12 20:25:00,FALSE,"499289713308872704","499290477896957952","69091963","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"58","@markvsql lol! um, no, I won't be calling my new VM ""piechart""... but thanks anyway!",FALSE,0,"markvsql",2014-08-12 20:24:29,FALSE,"499289818665189376","499290346962948097","19672735","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"59","Twitter techie types. Any great ideas names for my new Virtual Machine? I'm stumped over here.",FALSE,0,NA,2014-08-12 20:20:52,FALSE,NA,"499289435922776065",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"60","RT @RevolutionR: Revolution R Enterprise w/ #Hadoop Bootcamp 14-18SEP14 http://t.co/pz81cYyxDv",FALSE,0,NA,2014-08-12 20:16:13,FALSE,NA,"499288267314192384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",1,TRUE,FALSE,NA,NA
"61","RT @kdnuggets: Data Mining &amp; Privacy: Who’s Watching Them Watch You? Proactive regulation of data mining is better than a backlash http://t…",FALSE,0,NA,2014-08-12 20:16:06,FALSE,NA,"499288235068387328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",4,TRUE,FALSE,NA,NA
"62","My favourite Tech Leaders news: http://t.co/jSEH0YSTvp - top stories by marc_smith, KirkDBorne",FALSE,1,NA,2014-08-12 19:00:12,FALSE,NA,"499269134451236865",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"63","RT @JohndeVoogd: Informatica Ranked as a Leader in the Big Data Streaming Analytics Platforms Report by - http://t.co/RCPy9hESM5 #bigdata",FALSE,0,NA,2014-08-12 18:32:02,FALSE,NA,"499262045976788992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",3,TRUE,FALSE,NA,NA
"64","Like bookclubs? Interested in learning Javascript online? #SQLPass http://t.co/zbz8Wmb6d6",FALSE,0,NA,2014-08-12 18:08:51,FALSE,NA,"499256212220035072",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",2,FALSE,FALSE,NA,NA
"65","Today's #SQLServer2014 news: http://t.co/Ik5qeltRhV",FALSE,0,NA,2014-08-12 18:00:09,FALSE,NA,"499254024781459456",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"66","#DataViz latest news roundup: http://t.co/tt08PnEYKx",FALSE,0,NA,2014-08-12 17:00:02,FALSE,NA,"499238893741297664",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",1,FALSE,FALSE,NA,NA
"67","Apple loses 5% of mobile enterprise share to Android, but it’s Microsoft that should worry http://t.co/rxdQ9xLySV via @gigaom #Mobile",FALSE,0,NA,2014-08-12 16:57:15,FALSE,NA,"499238193288708096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",1,FALSE,FALSE,NA,NA
"68","RT @kleegeek: #sqlpass HA/DR virtual chapter-@ryanjadams - #sqlserver mirroring start to finish-starting soon! #sqlpass_hadr: http://t.co/R…",FALSE,0,NA,2014-08-12 16:56:40,FALSE,NA,"499238049059188736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",1,TRUE,FALSE,NA,NA
"69","RT @kellabyte: Do not skimp on ops tooling. Shit's going on in your system and you NEED to know.",FALSE,0,NA,2014-08-12 16:56:33,FALSE,NA,"499238018784710656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",74,TRUE,FALSE,NA,NA
"70","RT @ViolinMemory: Chat with @ViolinMemory at #SQLSatLondonBA --&gt;&gt; November 22 in #London: see http://t.co/E0BC5LCmkp  -- #SQL #database #DB…",FALSE,0,NA,2014-08-12 16:40:44,FALSE,NA,"499234038775705600",NA,"<a href=""http://www.WindowsPhone.com/"" rel=""nofollow"">Windows Phone</a>","jenstirrup",1,TRUE,FALSE,NA,NA
"71","#SQLServer2014 Top Content: http://t.co/GAj4QKhlKe",FALSE,0,NA,2014-08-12 16:00:06,FALSE,NA,"499223813104881664",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",2,FALSE,FALSE,NA,NA
"72","Top #dataviz story: Unmissable TV: A new interactive data visualisation from Pa… http://t.co/TeEvXOSgEQ, see more http://t.co/8GSq1DUxMp",FALSE,0,NA,2014-08-12 15:50:04,FALSE,NA,"499221285118156800",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"73","Implemented a small POC in #PowerPivot today. It is excellent for
prototyping solutions.",FALSE,0,NA,2014-08-12 15:26:52,FALSE,NA,"499215448777314304",NA,"<a href=""http://twittercounter.com"" rel=""nofollow"">The Counter</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"74","Summary of the latest #dataviz news! http://t.co/SG6O6jBMnh",FALSE,0,NA,2014-08-12 15:00:02,FALSE,NA,"499208695415578624",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"75","Today's freshest #SQLServer2014 news: eBook deal of the week: Training Kit (Exa… http://t.co/D0gwBLZjYQ, see more http://t.co/Ik5qeltRhV",FALSE,0,NA,2014-08-12 14:16:51,FALSE,NA,"499197826019385344",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"76","The SQLServer2012 Daily is out! http://t.co/whySCVfnBX Stories via @BasitAali @Varinder_Sandhu",FALSE,0,NA,2014-08-12 14:14:25,FALSE,NA,"499197216586625024",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","jenstirrup",1,FALSE,FALSE,NA,NA
"77","RT @TheAcademy: Genie, you're free. http://t.co/WjA9QuuldD",FALSE,0,NA,2014-08-12 12:57:40,FALSE,NA,"499177898788794368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",330360,TRUE,FALSE,NA,NA
"78","#SQLSatLondonBA Interested in #BigData You can meet Silver Sponsors
@BigBangDataCo co-author of... Read more at http://t.co/ODDMvIRy4L",FALSE,0,NA,2014-08-12 11:48:40,FALSE,NA,"499160535586201600",NA,"<a href=""http://twittercounter.com"" rel=""nofollow"">The Counter</a>","jenstirrup",1,FALSE,FALSE,NA,NA
"79","#SQLSatLondon Interested in #BigData You can meet Silver Sponsors
@BigBangDataCo co-author of B... Read more at http://t.co/GiJiJu7Aqp",FALSE,0,NA,2014-08-12 11:39:32,FALSE,NA,"499158239200571393",NA,"<a href=""http://twittercounter.com"" rel=""nofollow"">The Counter</a>","jenstirrup",3,FALSE,FALSE,NA,NA
"80","Top story: NodeXL Graph Gallery: Graph Details https://t.co/GL4dgtYI5j, see more http://t.co/jSEH0YSTvp",FALSE,1,NA,2014-08-12 09:15:06,FALSE,NA,"499121888569094144",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"81","RT @OracleTim: CIOs share on their key challenges @CIOonline #bigdata #cloud #saas #paas  http://t.co/aoRsqbI1nB",FALSE,0,NA,2014-08-12 07:38:15,FALSE,NA,"499097517733056512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",2,TRUE,FALSE,NA,NA
"82","#SQLServer2014 Top Content: SQL Server 2014 Samples Databases ya disponibles - … http://t.co/u8Z0BEQbmn, see more http://t.co/GAj4QKhlKe",FALSE,0,NA,2014-08-12 06:06:33,FALSE,NA,"499074439326498816",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","jenstirrup",1,FALSE,FALSE,NA,NA
"83","Thought: For many business data wranglers, the infrastructure isn’t #Hadoop. It is good old #Excel. Little #data matters too #SQLSatLondonBA",FALSE,0,NA,2014-08-12 00:08:05,FALSE,NA,"498984227372032001",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",0,FALSE,FALSE,NA,NA
"84","RT @idigdata: New FREE #dataviz app for #Excel 2013 and #Office365.  https://t.co/xjAz0bMHCi http://t.co/yGIy1vsQtn",FALSE,0,NA,2014-08-12 00:04:45,FALSE,NA,"498983389576568832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jenstirrup",7,TRUE,FALSE,NA,NA
